Age,Gender,Occupation,Income Level,Education Level,Smoking Habit,Social Activity Level,Physical Activity Level,Region,Alcohol Consumption (ml/week)
65,Male,Unemployed,Low,High School,Non-smoker,High,Medium,Suburban,296.65
29,Female,Retired,Medium,High School,Occasional Smoker,Medium,Medium,Suburban,85.42
68,Male,Unemployed,Low,Bachelor's,Occasional Smoker,Low,Medium,Rural,212.32
39,Female,Retired,Medium,Master's,Non-smoker,Low,Medium,Urban,89.88
39,Female,Student,Medium,Bachelor's,Regular Smoker,High,Medium,Suburban,351.43
63,Female,Student,Low,PhD,Non-smoker,Medium,Medium,Urban,159.65
47,Male,Retired,Medium,Master's,Non-smoker,Low,Medium,Urban,176.36
55,Female,Student,Medium,Bachelor's,Occasional Smoker,High,Medium,Urban,236.08
55,Male,Retired,Low,Master's,Non-smoker,High,Low,Suburban,260.71
62,Male,Professional,High,Bachelor's,Non-smoker,High,Medium,Urban,292.79
68,Male,Unemployed,High,High School,Non-smoker,High,High,Suburban,278.25
25,Male,Professional,Medium,Bachelor's,Non-smoker,High,Low,Urban,194.27
44,Female,Retired,Low,High School,Occasional Smoker,Low,Low,Rural,78.02
44,Female,Unemployed,Medium,Bachelor's,Non-smoker,Low,Medium,Rural,105.62
51,Male,Retired,Medium,Bachelor's,Non-smoker,Medium,High,Rural,114.89
38,Male,Unemployed,Low,High School,Non-smoker,Medium,Low,Rural,179.66
47,Male,Unemployed,Medium,High School,Occasional Smoker,Medium,Low,Rural,159.45
50,Male,Unemployed,Medium,Master's,Non-smoker,Medium,Low,Rural,179.77
45,Non-binary,Unemployed,Medium,Bachelor's,Occasional Smoker,Medium,Medium,Suburban,112.94
64,Male,Retired,Medium,High School,Non-smoker,Medium,Low,Urban,200.7
50,Male,Unemployed,Medium,Bachelor's,Non-smoker,Low,Low,Urban,209.97
22,Male,Unemployed,High,Bachelor's,Non-smoker,Low,Medium,Urban,176.35
65,Female,Professional,Low,Bachelor's,Non-smoker,Medium,High,Suburban,53.84
36,Non-binary,Student,Medium,PhD,Non-smoker,Medium,Medium,Suburban,143.24
21,Female,Student,High,Bachelor's,Non-smoker,Low,Low,Rural,135.28
52,Female,Professional,Medium,High School,Regular Smoker,Medium,Medium,Rural,202.75
66,Female,Professional,Medium,Master's,Non-smoker,Medium,High,Urban,87.81
34,Male,Retired,Medium,Master's,Occasional Smoker,Medium,Medium,Suburban,140.59
61,Female,Retired,Medium,High School,Non-smoker,Low,High,Rural,87.18
45,Female,Retired,High,High School,Non-smoker,Medium,High,Urban,117.99
47,Female,Professional,Medium,High School,Non-smoker,Low,Low,Suburban,104.76
46,Female,Professional,High,Bachelor's,Regular Smoker,High,Medium,Urban,380
63,Female,Unemployed,Low,Bachelor's,Non-smoker,Low,Low,Suburban,131.08
70,Female,Retired,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,93.14
23,Non-binary,Retired,Medium,Master's,Non-smoker,Low,Low,Rural,69.78
52,Female,Retired,Low,Bachelor's,Non-smoker,Medium,Low,Suburban,126.35
58,Female,Student,Low,High School,Non-smoker,Medium,High,Urban,132.98
54,Female,Unemployed,Low,High School,Non-smoker,Low,Low,Urban,124.74
41,Male,Retired,Low,High School,Non-smoker,Medium,High,Urban,110.72
46,Female,Retired,Low,High School,Non-smoker,Low,Low,Rural,112.43
66,Male,Retired,High,Bachelor's,Occasional Smoker,Medium,Low,Suburban,209.23
63,Female,Student,Low,Master's,Non-smoker,Medium,High,Urban,78.29
70,Non-binary,Student,Medium,High School,Non-smoker,Medium,Medium,Urban,156.87
48,Female,Professional,Medium,Bachelor's,Non-smoker,High,Medium,Suburban,214.11
52,Male,Unemployed,High,Bachelor's,Occasional Smoker,Medium,Low,Suburban,197.51
50,Male,Professional,Low,High School,Non-smoker,Medium,Medium,Suburban,153.7
69,Male,Unemployed,High,High School,Non-smoker,Low,Medium,Urban,190.54
38,Female,Student,Medium,High School,Non-smoker,Medium,Medium,Suburban,141.55
49,Male,Retired,Medium,High School,Non-smoker,Medium,Medium,Suburban,211.7
40,Male,Professional,Medium,Master's,Non-smoker,Low,High,Rural,146.83
50,Male,Retired,High,High School,Occasional Smoker,High,Medium,Rural,289.54
20,Female,Professional,Low,High School,Occasional Smoker,Low,High,Suburban,26.95
35,Female,Student,Medium,Bachelor's,Occasional Smoker,High,Medium,Suburban,232.62
42,Male,Student,Medium,PhD,Non-smoker,Low,Medium,Urban,240.02
59,Male,Student,Medium,High School,Non-smoker,High,Low,Rural,292.77
48,Female,Professional,High,High School,Non-smoker,Medium,Low,Urban,152.77
20,Female,Unemployed,Low,High School,Non-smoker,Low,High,Urban,27.81
57,Female,Professional,High,High School,Non-smoker,Low,Low,Urban,106.77
63,Male,Unemployed,Low,High School,Occasional Smoker,Medium,Low,Rural,163.85
41,Female,Professional,Low,Bachelor's,Non-smoker,High,Low,Urban,205.64
67,Female,Professional,Low,High School,Non-smoker,Low,Low,Urban,122.16
49,Female,Student,Low,High School,Non-smoker,Low,High,Urban,94.64
64,Female,Retired,Medium,Master's,Non-smoker,Medium,High,Urban,45.66
39,Male,Retired,Low,High School,Non-smoker,Medium,Medium,Urban,164.16
40,Male,Unemployed,Low,High School,Occasional Smoker,Medium,Low,Rural,188.36
19,Female,Retired,High,High School,Non-smoker,Medium,Medium,Rural,115.76
44,Female,Professional,High,PhD,Occasional Smoker,Low,Medium,Urban,131.29
59,Female,Professional,High,High School,Occasional Smoker,High,High,Rural,195.05
19,Female,Student,High,Master's,Occasional Smoker,Medium,Medium,Suburban,117.64
43,Female,Student,Medium,Bachelor's,Non-smoker,Low,Low,Urban,145.29
34,Female,Retired,Low,High School,Non-smoker,Medium,Medium,Suburban,87.22
57,Male,Unemployed,Low,PhD,Non-smoker,Medium,High,Rural,109.75
50,Female,Retired,Medium,High School,Occasional Smoker,Medium,Medium,Urban,115.79
26,Male,Retired,Low,High School,Non-smoker,Medium,Medium,Urban,154.69
60,Male,Retired,Medium,Master's,Regular Smoker,Low,Low,Rural,326.79
65,Non-binary,Retired,Low,Bachelor's,Non-smoker,Medium,Medium,Suburban,90.01
56,Male,Professional,Low,Bachelor's,Non-smoker,High,Medium,Urban,274.59
46,Male,Unemployed,Medium,High School,Non-smoker,Low,Low,Suburban,202.34
59,Male,Professional,Medium,High School,Non-smoker,Medium,Medium,Suburban,167.49
43,Female,Unemployed,Medium,Bachelor's,Non-smoker,High,Low,Rural,180.75
52,Male,Student,Medium,High School,Occasional Smoker,High,Low,Suburban,352.14
67,Male,Retired,Low,High School,Occasional Smoker,Medium,Low,Urban,212.44
42,Male,Professional,Low,High School,Occasional Smoker,Medium,Low,Suburban,176.77
41,Male,Unemployed,High,High School,Regular Smoker,Medium,Medium,Suburban,308.07
30,Male,Student,Medium,Master's,Occasional Smoker,High,Low,Urban,280.76
24,Male,Student,Low,High School,Non-smoker,High,Low,Suburban,281.96
53,Female,Retired,High,PhD,Occasional Smoker,Low,High,Rural,98.01
62,Male,Unemployed,Low,High School,Non-smoker,Medium,Medium,Urban,198.94
37,Male,Professional,Medium,Bachelor's,Non-smoker,Medium,Medium,Suburban,183.33
18,Male,Retired,Low,High School,Occasional Smoker,Medium,Medium,Urban,133.75
25,Male,Professional,Medium,High School,Non-smoker,Medium,Medium,Urban,165.36
63,Female,Student,Medium,High School,Non-smoker,Medium,Low,Urban,169.83
33,Female,Professional,Low,High School,Non-smoker,High,High,Urban,146.37
31,Male,Professional,High,Bachelor's,Non-smoker,Low,Low,Rural,190.4
29,Male,Retired,Medium,PhD,Regular Smoker,Low,Medium,Urban,310.82
68,Male,Professional,Low,Bachelor's,Non-smoker,Medium,Low,Suburban,172.22
40,Female,Retired,Low,High School,Non-smoker,Medium,Medium,Urban,108.11
32,Female,Student,Low,High School,Non-smoker,Low,Medium,Rural,123.94
45,Female,Retired,Low,High School,Non-smoker,Low,Medium,Suburban,80.36
51,Male,Retired,Medium,Bachelor's,Regular Smoker,Medium,Low,Suburban,261.5
19,Female,Unemployed,High,Bachelor's,Non-smoker,High,Medium,Urban,188.61
49,Male,Professional,Medium,Master's,Non-smoker,Medium,High,Urban,148.09
40,Male,Student,Low,High School,Occasional Smoker,Medium,High,Urban,180.04
39,Male,Retired,Low,Bachelor's,Regular Smoker,Low,Low,Rural,245.14
68,Male,Student,Low,High School,Occasional Smoker,Medium,Low,Urban,255.69
42,Female,Unemployed,Medium,Bachelor's,Occasional Smoker,Medium,High,Suburban,49.43
39,Female,Professional,Medium,Bachelor's,Non-smoker,Medium,Medium,Suburban,77.92
39,Male,Retired,Low,Bachelor's,Non-smoker,Low,Medium,Urban,145.96
66,Female,Professional,Medium,Bachelor's,Non-smoker,Low,High,Suburban,70.28
69,Non-binary,Unemployed,High,High School,Regular Smoker,Low,High,Suburban,215.36
59,Female,Unemployed,Medium,Bachelor's,Non-smoker,Medium,Medium,Suburban,80.6
23,Female,Student,High,High School,Non-smoker,High,Medium,Urban,252.34
32,Female,Retired,Medium,Bachelor's,Non-smoker,High,Low,Urban,160.68
60,Non-binary,Student,Medium,High School,Non-smoker,Medium,Medium,Urban,169.4
54,Female,Unemployed,Medium,Bachelor's,Non-smoker,Medium,Low,Rural,120.07
50,Male,Professional,Medium,Master's,Regular Smoker,High,Low,Suburban,395.03
25,Male,Student,Low,Master's,Non-smoker,Low,Low,Urban,202.51
70,Female,Student,Low,Master's,Occasional Smoker,Medium,Low,Rural,147.68
61,Male,Professional,Low,Bachelor's,Occasional Smoker,High,Medium,Urban,305.31
61,Female,Student,Medium,Bachelor's,Non-smoker,Medium,Medium,Rural,172.77
22,Male,Professional,Low,Bachelor's,Non-smoker,High,Medium,Rural,238.62
56,Male,Retired,High,Master's,Non-smoker,High,Low,Rural,254.18
21,Male,Professional,Medium,High School,Non-smoker,Medium,High,Rural,139.32
23,Male,Retired,Medium,PhD,Occasional Smoker,High,Low,Urban,216.55
62,Female,Professional,Low,Master's,Non-smoker,Medium,Medium,Urban,103.74
49,Female,Unemployed,High,Bachelor's,Non-smoker,Medium,High,Suburban,86.37
69,Female,Unemployed,High,High School,Non-smoker,Medium,Medium,Urban,132.27
47,Female,Retired,Medium,High School,Regular Smoker,Low,Medium,Urban,220.25
64,Male,Retired,Low,Master's,Occasional Smoker,Medium,High,Suburban,163.76
52,Female,Unemployed,Medium,High School,Occasional Smoker,Medium,Low,Urban,118.81
57,Female,Retired,Low,Master's,Occasional Smoker,Low,Medium,Rural,128.63
69,Female,Professional,Low,High School,Non-smoker,Low,Medium,Rural,118.15
33,Male,Professional,Medium,High School,Occasional Smoker,Low,Low,Rural,178.7
30,Female,Unemployed,Medium,Master's,Non-smoker,Medium,High,Suburban,31.94
67,Female,Student,Medium,Bachelor's,Occasional Smoker,High,High,Rural,170.58
59,Non-binary,Professional,High,Bachelor's,Occasional Smoker,High,Medium,Rural,196.73
47,Female,Retired,Medium,Bachelor's,Non-smoker,Medium,Low,Suburban,90.87
36,Male,Student,Medium,High School,Occasional Smoker,High,Low,Urban,303.78
34,Female,Student,Low,Bachelor's,Regular Smoker,Medium,Medium,Rural,226.68
36,Female,Professional,High,High School,Non-smoker,Medium,Low,Rural,132.55
45,Male,Professional,Low,Master's,Occasional Smoker,Medium,Medium,Urban,211.73
43,Female,Student,High,Master's,Non-smoker,Low,Medium,Urban,177.03
54,Female,Student,High,High School,Non-smoker,High,Medium,Suburban,335.06
43,Male,Unemployed,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,168.66
70,Male,Retired,Medium,Bachelor's,Non-smoker,Medium,Medium,Rural,179.06
40,Male,Unemployed,High,High School,Regular Smoker,Medium,Low,Rural,376.52
26,Male,Professional,Medium,PhD,Regular Smoker,Medium,Low,Urban,272.86
29,Male,Unemployed,High,High School,Occasional Smoker,Low,Medium,Suburban,197.5
70,Female,Unemployed,High,High School,Non-smoker,Medium,Medium,Urban,147.87
18,Male,Unemployed,Medium,Bachelor's,Regular Smoker,Low,Medium,Suburban,308.79
18,Male,Unemployed,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,139.81
64,Female,Retired,High,Bachelor's,Regular Smoker,Medium,High,Suburban,237.64
51,Female,Retired,Medium,Bachelor's,Non-smoker,Medium,Low,Urban,116.29
49,Male,Student,Low,Bachelor's,Non-smoker,Medium,Low,Urban,221.36
65,Male,Professional,Low,Bachelor's,Occasional Smoker,Medium,Low,Urban,161.05
42,Male,Unemployed,Medium,High School,Non-smoker,Medium,Medium,Urban,188.81
57,Female,Student,High,High School,Non-smoker,Medium,Medium,Suburban,195.81
62,Male,Student,High,High School,Non-smoker,Medium,High,Urban,235.43
70,Female,Student,Medium,High School,Non-smoker,Medium,Medium,Suburban,193.83
18,Non-binary,Retired,Low,Bachelor's,Non-smoker,High,High,Rural,138.33
33,Male,Unemployed,Low,High School,Non-smoker,Low,High,Rural,155
56,Female,Unemployed,High,High School,Non-smoker,Medium,Low,Rural,144.04
22,Non-binary,Professional,Low,High School,Non-smoker,High,Medium,Rural,172.09
39,Male,Unemployed,Low,Master's,Occasional Smoker,Medium,Medium,Urban,202.35
46,Female,Unemployed,Low,Master's,Non-smoker,Low,Low,Urban,96.22
20,Female,Student,Medium,Bachelor's,Regular Smoker,Medium,Medium,Suburban,274.06
29,Female,Professional,High,Master's,Regular Smoker,Low,Medium,Rural,226.96
43,Female,Unemployed,Low,Bachelor's,Non-smoker,Low,Low,Rural,87.78
33,Female,Retired,Medium,Bachelor's,Occasional Smoker,High,Medium,Urban,173
68,Female,Unemployed,Medium,High School,Occasional Smoker,Medium,Medium,Urban,121.17
54,Female,Student,High,Bachelor's,Regular Smoker,Low,Low,Urban,307.23
39,Female,Retired,Low,Bachelor's,Non-smoker,High,Medium,Suburban,168.12
46,Female,Student,Medium,Bachelor's,Non-smoker,High,Low,Suburban,232.34
31,Female,Unemployed,Low,Bachelor's,Occasional Smoker,Medium,Medium,Urban,94.24
45,Male,Retired,High,Bachelor's,Occasional Smoker,Low,Low,Urban,238.7
22,Male,Professional,Medium,Bachelor's,Occasional Smoker,High,High,Suburban,197.18
64,Male,Professional,Low,Master's,Non-smoker,Medium,Medium,Suburban,200.27
66,Male,Retired,Medium,High School,Regular Smoker,Medium,Low,Urban,312.73
47,Male,Retired,Medium,Bachelor's,Regular Smoker,High,Medium,Rural,432.41
63,Female,Student,Low,High School,Non-smoker,Medium,Medium,Suburban,178.76
69,Male,Retired,High,Bachelor's,Non-smoker,Low,Medium,Rural,220.05
22,Female,Student,Low,Bachelor's,Non-smoker,Medium,Medium,Rural,124.7
29,Male,Unemployed,Medium,High School,Occasional Smoker,Medium,Medium,Urban,147.06
33,Female,Student,Medium,Bachelor's,Occasional Smoker,Medium,Low,Urban,147.74
43,Non-binary,Retired,Medium,High School,Occasional Smoker,Medium,Low,Suburban,88.48
43,Male,Retired,Low,Bachelor's,Non-smoker,Low,Medium,Urban,209.03
65,Female,Unemployed,High,High School,Non-smoker,Medium,Medium,Rural,145.45
38,Male,Retired,Medium,Bachelor's,Non-smoker,Medium,Low,Suburban,176.02
56,Female,Retired,Medium,High School,Non-smoker,Medium,High,Rural,18.86
53,Male,Professional,Medium,Bachelor's,Occasional Smoker,Medium,Low,Urban,192.1
50,Female,Professional,Medium,High School,Regular Smoker,Medium,Medium,Urban,248.33
47,Male,Unemployed,Low,Master's,Regular Smoker,Medium,Low,Suburban,321.16
54,Female,Student,Low,Master's,Regular Smoker,Low,Low,Urban,239.14
40,Female,Professional,High,PhD,Non-smoker,Medium,High,Suburban,81.66
27,Male,Student,Low,Bachelor's,Non-smoker,High,Low,Rural,266.5
22,Male,Retired,Medium,Bachelor's,Occasional Smoker,Medium,Medium,Urban,131.2
53,Male,Professional,High,High School,Regular Smoker,Medium,Low,Suburban,290.53
51,Male,Unemployed,Low,High School,Non-smoker,High,Medium,Urban,282.42
69,Female,Unemployed,Medium,High School,Non-smoker,Low,High,Urban,83.58
48,Male,Unemployed,Medium,Bachelor's,Non-smoker,Low,Low,Rural,182.68
27,Male,Professional,Medium,Master's,Occasional Smoker,Medium,High,Rural,103.2
36,Male,Student,Low,High School,Non-smoker,Low,Medium,Suburban,205.33
49,Female,Retired,Low,Master's,Non-smoker,High,Medium,Rural,175.41
18,Male,Student,Medium,Bachelor's,Non-smoker,Low,Medium,Suburban,203.56
22,Male,Student,High,Bachelor's,Non-smoker,Medium,High,Urban,180.29
62,Male,Retired,Medium,High School,Regular Smoker,Medium,Low,Urban,287.9
21,Male,Retired,Medium,High School,Non-smoker,Low,Low,Rural,145.78
33,Female,Professional,Low,Bachelor's,Occasional Smoker,Medium,High,Urban,68.21
41,Male,Professional,Medium,Bachelor's,Occasional Smoker,Low,Medium,Suburban,164.71
33,Male,Professional,Low,High School,Regular Smoker,Medium,Low,Suburban,335.7
19,Female,Professional,High,Bachelor's,Non-smoker,Low,Medium,Suburban,95.47
66,Female,Professional,High,Master's,Regular Smoker,High,Medium,Urban,375.64
45,Male,Retired,Medium,Master's,Non-smoker,High,Medium,Urban,253.85
49,Female,Student,High,Master's,Regular Smoker,Low,Low,Urban,318.89
44,Female,Professional,Low,High School,Regular Smoker,Low,Medium,Suburban,223.2
37,Male,Professional,Medium,High School,Non-smoker,Medium,Low,Suburban,141.43
41,Female,Student,Low,Bachelor's,Non-smoker,Low,Medium,Suburban,161.65
29,Female,Professional,High,High School,Non-smoker,High,High,Suburban,148.1
67,Male,Student,Low,High School,Non-smoker,Medium,Medium,Urban,254.6
52,Male,Student,Medium,High School,Non-smoker,Medium,Low,Rural,181.56
50,Male,Retired,High,High School,Non-smoker,High,Low,Suburban,323.13
50,Female,Unemployed,Low,High School,Non-smoker,Medium,Medium,Urban,75.3
68,Non-binary,Retired,Low,High School,Non-smoker,High,Medium,Urban,204.38
60,Female,Unemployed,Medium,High School,Non-smoker,High,Low,Rural,194.25
54,Male,Unemployed,Medium,High School,Non-smoker,Low,Medium,Rural,182.05
29,Female,Unemployed,Low,Bachelor's,Non-smoker,Low,Low,Urban,76.55
20,Female,Professional,Low,Bachelor's,Non-smoker,High,Low,Suburban,176.98
18,Male,Retired,Low,Bachelor's,Non-smoker,High,Low,Urban,198.93
50,Male,Unemployed,High,High School,Non-smoker,Low,Low,Urban,231.23
57,Female,Student,Medium,High School,Regular Smoker,High,Low,Suburban,357.55
27,Male,Professional,Low,Bachelor's,Non-smoker,Medium,Medium,Suburban,176.58
60,Female,Retired,Low,Bachelor's,Non-smoker,Low,High,Suburban,74.83
61,Male,Unemployed,Low,Bachelor's,Non-smoker,High,Medium,Urban,317.36
46,Male,Student,Low,High School,Occasional Smoker,Low,Low,Urban,252.86
30,Male,Retired,Medium,Master's,Regular Smoker,High,Low,Urban,399.94
29,Male,Retired,Low,High School,Regular Smoker,Low,Low,Urban,276.22
48,Female,Professional,Low,High School,Occasional Smoker,Medium,Low,Urban,104.61
63,Male,Retired,Medium,Bachelor's,Non-smoker,Low,Medium,Urban,174.28
19,Female,Professional,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,73.13
68,Female,Unemployed,Medium,High School,Non-smoker,Medium,Low,Urban,140.64
67,Female,Professional,Medium,High School,Regular Smoker,Low,Low,Suburban,237.88
52,Male,Student,Medium,Bachelor's,Occasional Smoker,Medium,Low,Urban,233.67
40,Female,Professional,Medium,High School,Occasional Smoker,Medium,Low,Urban,72.55
34,Female,Student,Medium,High School,Non-smoker,Low,Medium,Suburban,136.08
43,Male,Professional,High,High School,Occasional Smoker,High,Low,Urban,287.15
25,Male,Retired,Medium,Master's,Non-smoker,Medium,Medium,Suburban,166.47
46,Female,Unemployed,Medium,High School,Non-smoker,Medium,Medium,Urban,110.89
43,Non-binary,Student,High,PhD,Non-smoker,Medium,High,Urban,127.15
27,Male,Professional,Medium,Bachelor's,Non-smoker,Medium,High,Urban,117.99
43,Female,Professional,Low,PhD,Non-smoker,Low,Medium,Urban,102.75
51,Female,Professional,Low,Master's,Regular Smoker,Medium,Low,Suburban,225.15
68,Female,Retired,Low,High School,Non-smoker,Medium,Medium,Rural,140.59
58,Non-binary,Retired,High,High School,Non-smoker,Medium,Medium,Urban,140.96
24,Female,Student,Medium,High School,Non-smoker,High,Low,Urban,218.19
21,Male,Student,High,High School,Non-smoker,Medium,Medium,Suburban,231.59
70,Male,Retired,Medium,Bachelor's,Occasional Smoker,Low,High,Urban,141.51
67,Male,Student,Medium,High School,Occasional Smoker,Low,Medium,Rural,236.95
62,Female,Unemployed,Low,High School,Occasional Smoker,Low,Low,Urban,90.48
28,Female,Unemployed,Medium,High School,Regular Smoker,Low,Low,Rural,214.56
46,Male,Retired,Medium,Master's,Occasional Smoker,Medium,Medium,Urban,162.15
53,Female,Student,High,High School,Non-smoker,Low,Low,Urban,237.37
42,Female,Professional,Low,High School,Occasional Smoker,Low,Medium,Rural,82.83
38,Female,Unemployed,Medium,High School,Non-smoker,Low,Medium,Suburban,87.27
53,Male,Retired,Medium,Master's,Non-smoker,Low,Low,Suburban,175.75
27,Female,Student,Medium,Bachelor's,Non-smoker,Low,High,Suburban,66.92
54,Male,Retired,Medium,High School,Occasional Smoker,Low,Medium,Suburban,169.78
26,Male,Professional,Medium,High School,Occasional Smoker,Medium,Low,Urban,158.89
41,Male,Unemployed,Low,High School,Non-smoker,Medium,Medium,Suburban,148.33
52,Male,Retired,Medium,High School,Occasional Smoker,Low,Medium,Urban,163.55
66,Male,Retired,Medium,Master's,Regular Smoker,Medium,Medium,Rural,312.42
52,Female,Retired,High,Bachelor's,Non-smoker,Medium,High,Rural,126.57
65,Male,Professional,High,High School,Non-smoker,Low,Medium,Urban,188.62
53,Female,Retired,Low,Master's,Occasional Smoker,Low,High,Urban,51.61
35,Male,Professional,Low,High School,Non-smoker,Medium,Medium,Urban,177.64
66,Female,Professional,High,Bachelor's,Occasional Smoker,Medium,Medium,Urban,136.54
56,Non-binary,Professional,Medium,Master's,Non-smoker,Low,High,Rural,74.9
49,Male,Unemployed,High,High School,Non-smoker,Low,Medium,Urban,242.71
41,Male,Unemployed,Low,Bachelor's,Occasional Smoker,High,Low,Urban,282.4
40,Male,Retired,Medium,High School,Occasional Smoker,Low,Medium,Rural,144.95
49,Female,Retired,High,High School,Occasional Smoker,Low,Medium,Rural,155.22
54,Female,Unemployed,High,High School,Regular Smoker,High,Low,Suburban,381.68
29,Male,Student,Low,High School,Occasional Smoker,High,High,Suburban,276.85
66,Female,Unemployed,Medium,Bachelor's,Occasional Smoker,Medium,Low,Suburban,97.08
30,Male,Professional,Medium,Master's,Non-smoker,Medium,Low,Rural,130.53
40,Male,Unemployed,Low,Bachelor's,Non-smoker,Low,High,Suburban,100.23
42,Female,Professional,Medium,Master's,Non-smoker,Low,Medium,Suburban,88.54
52,Male,Retired,Medium,Master's,Occasional Smoker,Medium,Low,Urban,211.27
58,Female,Student,High,High School,Non-smoker,Low,Medium,Urban,175.2
47,Male,Retired,Medium,High School,Non-smoker,Medium,Medium,Suburban,197.67
34,Non-binary,Professional,Low,High School,Non-smoker,High,Low,Rural,152.69
66,Male,Professional,Low,Bachelor's,Occasional Smoker,High,High,Rural,232.88
37,Male,Professional,Medium,Master's,Regular Smoker,Low,Medium,Rural,271.95
65,Female,Student,Low,High School,Non-smoker,Medium,Medium,Suburban,142.89
42,Male,Unemployed,Medium,Bachelor's,Regular Smoker,Medium,Medium,Suburban,237.28
39,Non-binary,Retired,Low,Bachelor's,Non-smoker,High,Medium,Rural,151.02
30,Female,Retired,High,Bachelor's,Non-smoker,Low,Low,Suburban,129.82
36,Female,Unemployed,High,High School,Regular Smoker,Low,Low,Urban,277.25
66,Female,Retired,Medium,High School,Non-smoker,Low,Medium,Urban,138.86
53,Female,Student,High,High School,Regular Smoker,Medium,High,Rural,284.61
29,Female,Retired,Medium,High School,Non-smoker,Medium,Low,Urban,65.57
58,Female,Professional,Medium,High School,Non-smoker,Medium,Medium,Rural,110.04
36,Female,Unemployed,Low,Bachelor's,Regular Smoker,Medium,High,Urban,143.71
29,Male,Student,Medium,High School,Non-smoker,Low,Low,Suburban,206.77
26,Male,Unemployed,Medium,Master's,Regular Smoker,Medium,Low,Suburban,265.36
24,Female,Student,High,Bachelor's,Regular Smoker,Low,Low,Suburban,260.76
45,Male,Professional,Medium,Bachelor's,Non-smoker,High,Medium,Urban,258.1
31,Female,Unemployed,High,High School,Non-smoker,High,Low,Rural,219.27
48,Male,Retired,Medium,Bachelor's,Non-smoker,High,Medium,Suburban,289.06
69,Male,Student,Low,Master's,Non-smoker,High,Medium,Urban,290.66
36,Female,Unemployed,High,High School,Non-smoker,Low,Medium,Suburban,115.02
64,Female,Retired,Medium,High School,Non-smoker,Low,Low,Urban,109.89
33,Male,Unemployed,Low,Bachelor's,Non-smoker,Medium,Medium,Urban,136.2
70,Female,Unemployed,Medium,High School,Non-smoker,High,Medium,Urban,197.09
22,Female,Unemployed,Low,High School,Regular Smoker,Low,High,Rural,141.63
52,Male,Student,Medium,High School,Occasional Smoker,Low,High,Suburban,157.46
29,Female,Retired,Medium,High School,Occasional Smoker,High,Medium,Suburban,175.62
42,Male,Professional,Medium,Bachelor's,Non-smoker,Low,Medium,Urban,139.28
69,Male,Student,High,High School,Occasional Smoker,Medium,Low,Urban,331.93
38,Non-binary,Student,Medium,Master's,Non-smoker,Medium,Low,Rural,133.42
53,Male,Student,Low,Bachelor's,Occasional Smoker,Low,Low,Suburban,219.96
70,Female,Professional,Medium,Bachelor's,Regular Smoker,Low,Medium,Rural,234.51
40,Female,Retired,High,Bachelor's,Non-smoker,Medium,Low,Urban,116.43
33,Male,Retired,Low,Master's,Occasional Smoker,Medium,Low,Urban,160.71
56,Female,Retired,Low,High School,Occasional Smoker,High,High,Rural,129.92
62,Female,Unemployed,Low,Master's,Regular Smoker,Medium,Low,Suburban,230.07
70,Male,Unemployed,Low,Bachelor's,Occasional Smoker,Low,Low,Urban,152.84
59,Female,Unemployed,High,Bachelor's,Non-smoker,Medium,Low,Urban,168
56,Female,Professional,Medium,Bachelor's,Non-smoker,Medium,Medium,Rural,105.59
31,Female,Unemployed,Low,High School,Non-smoker,Low,Medium,Urban,76.01
48,Female,Professional,Medium,High School,Occasional Smoker,Medium,Low,Suburban,81.05
22,Male,Retired,Low,Bachelor's,Non-smoker,Low,Medium,Urban,138.42
52,Female,Unemployed,High,High School,Regular Smoker,Low,Medium,Urban,260.41
40,Female,Unemployed,High,Bachelor's,Non-smoker,Low,High,Rural,85.97
46,Female,Student,Low,High School,Non-smoker,Medium,High,Urban,71.16
60,Female,Professional,High,High School,Non-smoker,Medium,High,Suburban,118.85
28,Female,Retired,Medium,High School,Occasional Smoker,Medium,Medium,Rural,68.35
35,Female,Student,Low,High School,Non-smoker,Medium,Low,Urban,151.9
64,Female,Student,Low,Bachelor's,Non-smoker,High,Low,Urban,279.02
29,Female,Retired,Medium,High School,Non-smoker,Low,Low,Suburban,67.03
26,Female,Student,Medium,PhD,Non-smoker,Low,Medium,Urban,104.2
27,Female,Professional,High,Bachelor's,Non-smoker,Low,High,Urban,57.12
61,Female,Professional,Medium,High School,Occasional Smoker,Low,Medium,Urban,98.45
34,Male,Unemployed,High,Bachelor's,Non-smoker,Medium,Low,Suburban,184.84
55,Male,Student,Medium,Master's,Non-smoker,Medium,Medium,Suburban,206.61
24,Male,Unemployed,High,Bachelor's,Occasional Smoker,Medium,High,Suburban,135.23
63,Female,Student,Medium,High School,Regular Smoker,Low,Medium,Urban,279.35
30,Female,Professional,Low,Master's,Occasional Smoker,Medium,High,Suburban,27.15
57,Female,Professional,Medium,Bachelor's,Non-smoker,Medium,High,Rural,59.52
59,Male,Professional,High,High School,Regular Smoker,Low,High,Suburban,284.21
26,Female,Student,Low,High School,Regular Smoker,Medium,Medium,Suburban,237.01
67,Male,Professional,High,Bachelor's,Occasional Smoker,High,Medium,Suburban,336.57
